Benchmark;Instructions;Cycles
b+tree;6028604253;19817591368
bfs;20745268;163871833
dwt2d;33179374;223377275
gaussian;22094457;181201528
hotspot;1915762338;7048922411
hotspot3D;25633917050;120803905970
lavaMD;156039656;662535013
lud;256105753;1022269443
myocyte;362091856;1332152075
nn;97228544;481543489
nw;272285806;1187677886
particlefilter;78484558;388359233
pathfinder;1032073238;3767034210
