Benchmark;Hits;Accesses
b+tree;427520;918080
dwt2d;6629;34240
gaussian;46;75
hotspot;39440;116622
hotspot3D;927372;10627341
lavaMD;3294180;4704754
lud;53235;59797
myocyte;4271442;4458926
nw;15874;558900
particlefilter;416330;577330
pathfinder;16169;743834
